ST_CODE,State_name,Month,Year,PC_Number,PC_name,PC_Type,Candidate_Name,Candidate_Sex,Candidate_Category,Candidate_Age,Party_Abbreviation,Total_Votes_Polled,Position,Alliance
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,B. MALLAIAH,M,SC,32.0,IND,4541.0,11.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,NALLALA KANUKAIAH,M,SC,39.0,IND,4468.0,12.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,A. KAMALAMMA,F,SC,36.0,IND,3938.0,13.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,GORRE RAMESH,M,SC,42.0,IND,3414.0,14.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,K. RAJASWARI,F,SC,38.0,IND,3328.0,15.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,PONNAM PRABHAKAR,M,GEN,41.0,INC,317927.0,1.0,UPA
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,VINOD KUMAR BOINAPALLY,M,GEN,49.0,TRS,267684.0,2.0,TRS
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,VELICHALA RAJENDER RAO,M,GEN,32.0,PRAP,175582.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,CHANDUPATLA JANGA REDDY,M,GEN,75.0,BJP,122337.0,4.0,NDA
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,BARIGE GATTAIAH YADAV,M,GEN,32.0,IND,26026.0,5.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,VIRESHAM NALIMELA,M,GEN,58.0,BSP,16332.0,6.0,BSP
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,B. SURESH,M,GEN,32.0,IND,12668.0,7.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,T. SRIMANNARAYANA,M,GEN,68.0,PPOI,9871.0,8.0,PPOI
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,K. PRABHAKAR,M,GEN,43.0,IND,8062.0,9.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,KORIVI VENUGOPAL,M,SC,46.0,IND,7520.0,10.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,PANAKANTI SATISH KUMAR,M,GEN,46.0,IND,6558.0,11.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,PEDDI RAVINDER,M,GEN,29.0,IND,5851.0,12.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,GADDAM RAJI REDDY,M,GEN,48.0,IND,5205.0,13.0,IND
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,LINGAMPALLI SRINIVAS REDDY,M,GEN,39.0,MCPI(S),4399.0,14.0,MCPI(S)
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,RAGULA RAMULU,M,SC,40.0,RPI(A),3279.0,15.0,NDA
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,MADHU YASKHI GOUD,M,GEN,50.0,INC,296504.0,1.0,UPA
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,BIGALA GANESH GUPTA,M,GEN,39.0,TRS,236114.0,2.0,TRS
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,P.VINAY KUMAR,M,GEN,51.0,PRAP,165790.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,DR. BAPU REDDY,M,GEN,59.0,BJP,113756.0,4.0,NDA
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,YEDLA RAMU,M,SC,53.0,BSP,15144.0,5.0,BSP
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,RAPELLY SRINIVAS,M,GEN,34.0,IND,13503.0,6.0,IND
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,DUDDEMPUDI SAMBASIVA RAO CHOUDARY,M,GEN,62.0,LSP,11649.0,7.0,LSP
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,DR. V.SATHYANARAYANA MURTHY,M,GEN,52.0,PPOI,10296.0,8.0,PPOI
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,KANDEM PRABHAKAR,M,GEN,44.0,IND,9292.0,9.0,IND
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,S. SUJATHA,F,GEN,43.0,TPPP,6385.0,10.0,TPPP
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,GADDAM SRINIVAS,M,GEN,47.0,IND,6304.0,11.0,IND
S01,Andhra Pradesh,3,2009,4,Nizamabad,GEN,AARIS MOHAMMED,M,GEN,46.0,IND,4774.0,12.0,IND
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,SURESH KUMAR SHETKAR,M,GEN,46.0,INC,395767.0,1.0,UPA
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,SYED YOUSUF ALI,M,GEN,54.0,TRS,378360.0,2.0,TRS
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,MALKAPURAM SHIVA KUMAR,M,GEN,43.0,PRAP,112792.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,CHENGAL BAGANNA,M,GEN,66.0,BJP,50189.0,4.0,NDA
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,BASAVA RAJ PATIL,M,GEN,39.0,IND,22256.0,5.0,IND
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,BENJAMIN RAJU,M,GEN,39.0,IJP,18196.0,6.0,IJP
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,M.VISHNU MUDIRAJ,M,GEN,35.0,BSP,13598.0,7.0,BSP
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,MALLESH RAVINDER REDDY,M,GEN,39.0,LSP,13468.0,8.0,LSP
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,POWAR SINGH HATTI SINGH,M,ST,36.0,IND,6920.0,9.0,IND
S01,Andhra Pradesh,3,2009,5,Zahirabad,GEN,CHITTA RAJESHWAR  RAO,M,GEN,45.0,IND,5744.0,10.0,IND
S01,Andhra Pradesh,3,2009,6,Medak,GEN,VIJAYA SHANTHI .M,F,GEN,43.0,TRS,388839.0,1.0,TRS
S01,Andhra Pradesh,3,2009,6,Medak,GEN,NARENDRANATH .C,M,GEN,45.0,INC,382762.0,2.0,UPA
S01,Andhra Pradesh,3,2009,6,Medak,GEN,KHAJA QUAYUM ANWAR,M,GEN,43.0,PRAP,120812.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,6,Medak,GEN,P. NIROOP REDDY,M,GEN,50.0,BJP,69027.0,4.0,NDA
S01,Andhra Pradesh,3,2009,6,Medak,GEN,KUNDETI RAVI,M,GEN,32.0,IND,38714.0,5.0,IND
S01,Andhra Pradesh,3,2009,6,Medak,GEN,Y. SHANKAR GOUD,M,GEN,44.0,BSP,22097.0,6.0,BSP
S01,Andhra Pradesh,3,2009,6,Medak,GEN,K. SUDHEER REDDY,M,GEN,37.0,LSP,19395.0,7.0,LSP
S01,Andhra Pradesh,3,2009,6,Medak,GEN,KOVURI PRABHAKAR,M,GEN,51.0,PPOI,11225.0,8.0,PPOI
S01,Andhra Pradesh,3,2009,6,Medak,GEN,D. YADESHWAR,M,GEN,46.0,BSP(AP),7401.0,9.0,BSP(AP)
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,SARVEY SATHYANARAYANA,M,SC,54.0,INC,388368.0,1.0,UPA
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,BHEEMSEN.T,M,GEN,60.0,TDP,295042.0,2.0,TDP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,T.DEVENDER GOUD,M,GEN,56.0,PRAP,238886.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,INDRASENA REDDY NALLU,M,GEN,56.0,BJP,130206.0,4.0,NDA
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,DR.LAVU RATHAIAH (VIGNAN),M,GEN,56.0,LSP,109036.0,5.0,LSP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,KOYALKAR BHOJRAJ,M,GEN,35.0,IND,6253.0,6.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,M.BABU RAO PADMASHALI,M,GEN,52.0,BSP,5951.0,7.0,BSP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,S.D.KRISHNA MURTHY,M,SC,51.0,TPPP,5314.0,8.0,TPPP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,LT.COL. (Retd.) DUSERLA PAPA RAIDU,M,GEN,62.0,IND,4270.0,9.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,N.V.RAMA REDDY,M,GEN,53.0,PPOI,4054.0,10.0,PPOI
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,K.SRINIVASA RAJU,M,GEN,44.0,IND,3735.0,11.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,NARENDER KUMBALA,M,SC,39.0,BPD,3237.0,12.0,BPD
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,MOHAMMED MANSOOR ALI,M,GEN,31.0,IND,2437.0,13.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,KANTE KANAKAIAH GANGAPUTRA,M,GEN,63.0,IND,2175.0,14.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,CHENNURI VENKATA SUBBA RAO,M,GEN,52.0,IND,2066.0,15.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,LION C.FRANCIS.MJF,M,GEN,56.0,SP,1347.0,16.0,SP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,JAJULA BHASKAR,M,SC,34.0,IND,1227.0,17.0,IND
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,PRATHANI RAMAKRISHNA,M,GEN,42.0,RKSP,1164.0,18.0,RKSP
S01,Andhra Pradesh,3,2009,7,Malkajgiri,GEN,S.VICTOR,M,GEN,40.0,IND,946.0,19.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,ANJAN KUMAR YADAV M,M,GEN,47.0,INC,340549.0,1.0,UPA
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,BANDARU DATTATREYA,M,GEN,61.0,BJP,170382.0,2.0,NDA
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,SRINIVASA SUDHISH RAMBHOTLA,M,GEN,40.0,TDP,135604.0,3.0,TDP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,DR. DASOJU  SRAVAN KUMAR,M,GEN,41.0,PRAP,91414.0,4.0,PRAP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,C.V.L. NARASIMHA RAO,M,GEN,51.0,LSP,52641.0,5.0,LSP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,M. D. MAHMOOD ALI,M,GEN,55.0,TRS,33144.0,6.0,TRS
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,ABDUS SATTAR MUJAHED,M,GEN,41.0,MUL,18720.0,7.0,MUL
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,IMDAD JAH,M,GEN,64.0,ANC,3095.0,8.0,ANC
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,B. GOPALA KRISHNA,M,GEN,42.0,IND,2655.0,9.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,AMBATI KRISHNA MURTHY,M,GEN,50.0,IND,2299.0,10.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,M. VENKATESH,M,GEN,32.0,BSP,2275.0,11.0,BSP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,P. DAMODER REDDY,M,GEN,48.0,PPOI,1889.0,12.0,PPOI
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,BABER ALI KHAN,M,GEN,51.0,IND,1543.0,13.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,CH. MURAHARI,M,GEN,49.0,IND,1406.0,14.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,S. DEVAIAH,M,SC,59.0,TPPP,1386.0,15.0,TPPP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,K. SRINIVASA CHARI,M,GEN,49.0,IND,964.0,16.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,DEVI DAS RAO GHODKE,M,GEN,63.0,IND,949.0,17.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,M. BHAGYA MATHA,F,SC,38.0,IND,878.0,18.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,ASEERVADAM LELLAPALLI,M,SC,51.0,IND,871.0,19.0,IND
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,SHIRAZ  KHAN,F,GEN,39.0,UWF,699.0,20.0,UWF
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,DR .POLISHETTY RAM MOHAN,M,GEN,57.0,SAP,663.0,21.0,SAP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,MOHD. OSMAN QURESHEE,M,GEN,35.0,AJBP,539.0,22.0,AJBP
S01,Andhra Pradesh,3,2009,8,Secundrabad,GEN,G. RAJAIAH,M,SC,48.0,IND,473.0,23.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,ASADUDDIN OWAISI,M,GEN,41.0,AIMIM,308061.0,1.0,AIMIM
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,ZAHID ALI KHAN,M,GEN,66.0,TDP,194196.0,2.0,TDP
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,P. LAXMAN RAO GOUD,M,GEN,55.0,INC,93917.0,3.0,UPA
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,SATISH AGARWAL,M,GEN,38.0,BJP,75503.0,4.0,NDA
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,FATIMA .A,F,GEN,41.0,PRAP,24433.0,5.0,PRAP
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,P. VENKATESWARA RAO,M,GEN,58.0,PPOI,13085.0,6.0,PPOI
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,MD. OSMAN,M,GEN,43.0,IND,2791.0,7.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,SAMY MOHAMMED,M,GEN,29.0,BSP,2149.0,8.0,BSP
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,M.A. BASITH,M,GEN,55.0,IND,2130.0,9.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,S. GOPAL SINGH,M,GEN,34.0,IND,2049.0,10.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,B. RAVI YADAV,M,GEN,33.0,IND,2008.0,11.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,D. SURENDER,M,SC,36.0,TPPP,1713.0,12.0,TPPP
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,TAHER KAMAL KHUNDMIRI,M,GEN,52.0,JD(S),1620.0,13.0,JD(S)
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,M.A. HABEEB,M,GEN,31.0,IND,1132.0,14.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,SYED ABDUL GAFFER,M,GEN,51.0,IND,1037.0,15.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,ZAHID ALI KHAN,M,GEN,26.0,IND,953.0,16.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,ALTAF AHMED KHAN,M,GEN,43.0,IND,797.0,17.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,N.L. SRINIVAS,M,GEN,31.0,IND,771.0,18.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,ALKASARY MOHSIN,M,GEN,33.0,IND,655.0,19.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,M.A. QUDDUS GHORI,M,GEN,43.0,IND,558.0,20.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,SARDAR SINGH,M,GEN,62.0,IND,523.0,21.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,M.A. SATTAR,M,GEN,29.0,IND,522.0,22.0,IND
S01,Andhra Pradesh,3,2009,9,Hyderabad,GEN,D. SADANAND,M,SC,45.0,IND,505.0,23.0,IND
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,JAIPAL REDDY SUDINI,M,GEN,67.0,INC,420807.0,1.0,UPA
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,A.P.JITHENDER REDDY,M,GEN,54.0,TDP,402275.0,2.0,TDP
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,BADDAM BAL REDDY,M,GEN,64.0,BJP,112701.0,3.0,NDA
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,KUMMARI GIRI,M,GEN,28.0,PPOI,37076.0,4.0,PPOI
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,DR.B.RAGHUVEER REDDY,M,GEN,42.0,LSP,35600.0,5.0,LSP
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,KASANI GNANESWAR,M,GEN,54.0,MANP,19996.0,6.0,MANP
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,S.MALLA REDDY,M,GEN,43.0,IND,14217.0,7.0,IND
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,LAXMINARAYANA,M,GEN,27.0,IND,9638.0,8.0,IND
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,SAMA SRINIVASULU,M,GEN,34.0,GRIP,8618.0,9.0,GRIP
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,SAYAMOLLA NARSIMULU,M,SC,30.0,IND,8472.0,10.0,IND
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,C.SRINIVAS RAO,M,GEN,39.0,BSP,4439.0,11.0,BSP
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,VENKATRAM NAIK,M,ST,34.0,IND,3581.0,12.0,IND
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,DASARI SARALA DEVI,F,GEN,39.0,MCPI(S),3292.0,13.0,MCPI(S)
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,RAMESHWARAM JANGAIAH,M,GEN,58.0,IND,2181.0,14.0,IND
S01,Andhra Pradesh,3,2009,10,CHELVELLA,GEN,G.MALLESHAM GOUD,M,GEN,32.0,IND,2107.0,15.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,K. CHANDRASEKHAR RAO,M,GEN,55.0,TRS,366569.0,1.0,TRS
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,DEVARAKONDA VITTAL RAO,M,GEN,57.0,INC,346385.0,2.0,UPA
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,KUCHAKULLA YADAGIRI REDDY,M,GEN,51.0,BJP,57955.0,3.0,NDA
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,B. BALRAJ GOUD,M,GEN,44.0,MANP,19261.0,4.0,MANP
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,GANGAPURI RAVINDAR GOUD,M,GEN,28.0,IND,13996.0,5.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,PALEM SUDARSHAN GOUD,M,GEN,42.0,BSP,13593.0,6.0,BSP
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,KARRE JANGAIAH,M,SC,29.0,IND,11268.0,7.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,BUDIGA JANGAM LAXMAMMA,F,SC,30.0,IND,9814.0,8.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,ASIRVADAM,M,SC,35.0,GRIP,9543.0,9.0,GRIP
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,MOHD. GHOUSE MOINUDDIN,M,GEN,76.0,IND,8298.0,10.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,ABDUL KAREEM KHAJA MOHAMMAD,M,GEN,50.0,LSP,7412.0,11.0,LSP
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,CHENNAMSETTY DASHARATHA RAMULU HOLEA DASARI,M,SC,31.0,IND,6873.0,12.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,B. SEENAIAH GOUD,M,GEN,62.0,IND,6351.0,13.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,V. VENKATESHWARLU,M,GEN,32.0,IND,4071.0,14.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,GAJJA NARSIMULU,M,SC,35.0,IND,3740.0,15.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,KOLLA VENKATESH MADIGA,M,SC,37.0,TPPP,3067.0,16.0,TPPP
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,YETTY LINGAIAH,M,SC,52.0,IND,2977.0,17.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,USHAN SATHYAMMA,F,SC,32.0,IND,2966.0,18.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,KANDUR KURMAIAH,M,SC,56.0,IND,2947.0,19.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,NAGENDER REDDY. K,M,GEN,49.0,IND,2828.0,20.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,PANDU,M,SC,29.0,IND,2718.0,21.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,K. NARSIMULU,M,SC,52.0,IND,2663.0,22.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,MUNISWAMY.C.R,M,SC,32.0,SJP(R),2603.0,23.0,SJP(R)
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,YETTI CHINNA YENKAIAH,M,SC,47.0,IND,2426.0,24.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,GUNDALA VIJAYALAKSHMI,F,GEN,61.0,PPOI,2286.0,25.0,PPOI
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,RAIKANTI RAMADAS MADIGA,M,SC,40.0,IND,2164.0,26.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,M.A. JABBAR,M,GEN,39.0,IND,2084.0,27.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,USAIN RANGAMMA,F,SC,50.0,IND,2000.0,28.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,DEPALLY MAISAIAH,M,SC,27.0,IND,1974.0,29.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,DEPALLE SAYANNA,M,SC,47.0,IND,1937.0,30.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,RAJESH NAIK,M,ST,29.0,IND,1893.0,31.0,IND
S01,Andhra Pradesh,3,2009,11,Mahbubnagar,GEN,MALA JANGILAMMA,F,SC,29.0,IND,1854.0,32.0,IND
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,DR. MANDA JAGANNATH,M,SC,57.0,INC,422745.0,1.0,UPA
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,GUVVALA BALARAJU,M,SC,31.0,TRS,374978.0,2.0,TRS
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,DEVANI SATYANARAYANA,M,SC,39.0,PRAP,62216.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,DR. T. RATNAKARA,M,SC,50.0,BJP,49696.0,4.0,NDA
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,SIRIGIRI MANNEM,M,SC,36.0,IND,36533.0,5.0,IND
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,HANUMANTHU,M,SC,28.0,IND,20899.0,6.0,IND
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,N. KURUMAIAH,M,SC,27.0,IND,15782.0,7.0,IND
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,TANGIRALA PARAMJYOTHI,M,SC,50.0,BSP,11830.0,8.0,BSP
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,A.V. SHIVA KUMAR,M,SC,42.0,IND,7708.0,9.0,IND
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,G. VIDYASAGAR,M,SC,50.0,LSP,7225.0,10.0,LSP
S01,Andhra Pradesh,3,2009,12,Nagarkurnool,SC,S.P.FERRY ROY,M,SC,27.0,PPOI,6575.0,11.0,PPOI
