STATE CODE,STATE,PC NO,PARLIAMENTARY CONSTITUENCY,Total voters,Total_Electors,TOT_CONTESTANT,POLL PERCENTAGE
S07,Haryana,6,Sonipat,712419,1099978,21,64.77
S07,Haryana,7,Rohtak,836637,1274972,16,65.62
S07,Haryana,8,Bhiwani-Mahendragarh,865804,1212513,29,71.41
S07,Haryana,9,Gurgaon,756919,1244437,24,60.82
S07,Haryana,10,Faridabad,625058,1103046,23,56.67
S08,Himachal Pradesh,1,Kangra,662559,1200165,10,55.21
S08,Himachal Pradesh,2,Mandi,713195,1112524,6,64.11
S08,Himachal Pradesh,3,Hamirpur,699114,1187377,8,58.88
S08,Himachal Pradesh,4,Shimla,616705,1106608,7,55.73
S09,Jammu & Kashmir,1,Baramulla,441234,1054496,13,41.84
S09,Jammu & Kashmir,2,Srinagar,282799,1106729,15,25.55
S09,Jammu & Kashmir,3,Anantnag,318726,1176223,13,27.1
S09,Jammu & Kashmir,4,Ladakh,109716,152491,5,71.95
S09,Jammu & Kashmir,5,Udhampur,611886,1363060,14,44.89
S09,Jammu & Kashmir,6,Jammu,844888,1719897,21,49.12
S10,Karnataka,1,Chikkodi,868283,1284427,7,67.6
S10,Karnataka,2,Belgaum,755809,1378238,10,54.84
S10,Karnataka,3,Bagalkot,860251,1363359,17,63.1
S10,Karnataka,4,Bijapur,649671,1373604,10,47.3
S10,Karnataka,5,Gulbarga,759888,1543771,10,49.22
S10,Karnataka,6,Raichur,682573,1486326,8,45.92
S10,Karnataka,7,Bidar,779341,1470507,27,53
S10,Karnataka,8,Koppal,755382,1363431,18,55.4
S10,Karnataka,9,Bellary,860872,1401258,7,61.44
S10,Karnataka,10,Haveri,872553,1371763,12,63.61
S10,Karnataka,11,Dharwad,798294,1411500,16,56.56
S10,Karnataka,12,Uttara Kannada,760526,1286556,11,59.11
S10,Karnataka,13,Davanagere,907303,1344920,28,67.46
S10,Karnataka,14,Shimoga,954497,1435908,12,66.47
S10,Karnataka,15,Udupi Chikmagalur,835307,1224335,9,68.23
S10,Karnataka,16,Hassan,980592,1417213,13,69.19
S10,Karnataka,17,Dakshina Kannada,1016133,1364641,11,74.46
S10,Karnataka,18,Chitradurga,836263,1534169,11,54.51
S10,Karnataka,19,Tumkur,900228,1388773,10,64.82
S10,Karnataka,20,Mandya,1032347,1499744,12,68.83
S10,Karnataka,21,Mysore,974276,1653991,12,58.9
S10,Karnataka,22,Chamarajanagar,973835,1433825,14,67.92
S10,Karnataka,23,Bangalore Rural,1102844,1904135,15,57.92
S10,Karnataka,24,Bangalore North,1001708,2144091,28,46.72
S10,Karnataka,25,Bangalore central,846990,1901346,37,44.55
S10,Karnataka,26,Bangalore South,909347,2031030,20,44.77
S10,Karnataka,27,Chikkballapur,978788,1437155,20,68.11
S10,Karnataka,28,Kolar,927447,1340923,22,69.16
S11,Kerala,1,Kasaragod,848220,1113892,7,76.15
S11,Kerala,2,Kannur,864806,1069725,9,80.84
S11,Kerala,3,Vadakara,863136,1071171,8,80.58
S11,Kerala,4,Wayanad,823891,1102097,13,74.76
S11,Kerala,5,Kozhikode,798060,1053817,16,75.73
S11,Kerala,6,Malappuram,783548,1019713,4,76.84
S11,Kerala,7,Ponnani,769587,997075,13,77.18
S11,Kerala,8,Palakkad,789810,1074818,10,73.48
S11,Kerala,9,Alathur,828797,1100843,9,75.29
S11,Kerala,10,Thrissur,815868,1174161,11,69.49
S11,Kerala,11,Chalakudy,792910,1075390,11,73.73
S11,Kerala,12,Ernakulam,744996,1023053,10,72.82
S11,Kerala,13,Idukki,786132,1062849,10,73.96
S11,Kerala,14,Kottayam,808085,1095242,20,73.78
S11,Kerala,15,Alappuzha,908360,1147162,6,79.18
S11,Kerala,16,Mavelikkara,804182,1142993,7,70.36
S11,Kerala,17,Pathanamthitta,797367,1213370,12,65.72
S11,Kerala,18,Kollam,752594,1108686,11,67.88
S11,Kerala,19,Attingal,723233,1091432,14,66.26
S11,Kerala,20,Thiruvananthapuram,737917,1122047,16,65.77
S12,Madhya Pradesh,1,MORENA,710729,1339897,24,53.04
S12,Madhya Pradesh,2,BHIND,523856,1364411,13,38.39
S12,Madhya Pradesh,3,GWALIOR,584549,1420728,23,41.14
S12,Madhya Pradesh,4,GUNA,649981,1202772,18,54.04
S12,Madhya Pradesh,5,SAGAR,570331,1185166,12,48.12
S12,Madhya Pradesh,6,TIKAMGARH,525285,1209553,17,43.43
S12,Madhya Pradesh,7,DAMOH,599184,1357985,21,44.12
S12,Madhya Pradesh,8,KHAJURAHO,583140,1349511,15,43.21
S12,Madhya Pradesh,9,SATNA,659614,1207500,21,54.63
S12,Madhya Pradesh,10,REWA,603648,1248727,15,48.34
S12,Madhya Pradesh,11,SIDHI,675876,1358291,11,49.76
S12,Madhya Pradesh,12,SHAHDOL,629897,1272377,8,49.51
S12,Madhya Pradesh,13,JABALPUR,633495,1446345,11,43.8
S12,Madhya Pradesh,14,MANDLA,859675,1528061,14,56.26
S12,Madhya Pradesh,15,BALAGHAT,756645,1339239,18,56.5
S12,Madhya Pradesh,16,CHHINDWARA,829449,1154249,28,71.86
S12,Madhya Pradesh,17,HOSHANGABAD,711458,1297404,10,54.84
S12,Madhya Pradesh,18,VIDISHA,556434,1233394,8,45.11
S12,Madhya Pradesh,19,BHOPAL,658855,1461714,23,45.07
S12,Madhya Pradesh,20,RAJGARH,650475,1261062,9,51.58
S12,Madhya Pradesh,21,DEWAS,783248,1297313,10,60.37
S12,Madhya Pradesh,22,UJJAIN,667598,1253686,9,53.25
S12,Madhya Pradesh,23,MANDSOUR,765496,1371067,12,55.83
S12,Madhya Pradesh,24,RATLAM,637481,1251597,10,50.93
S12,Madhya Pradesh,25,DHAR,654926,1197172,11,54.71
S12,Madhya Pradesh,26,INDORE,797049,1570094,18,50.76
S12,Madhya Pradesh,27,KHARGONE,760559,1263778,11,60.18
S12,Madhya Pradesh,28,KHANDWA,813129,1355325,13,60
S12,Madhya Pradesh,29,BETUL,636569,1286761,16,49.47
S13,Maharashtra,1,Nandurbar,766293,1455543,7,52.65
S13,Maharashtra,2,Dhule,670196,1575225,15,42.55
S13,Maharashtra,3,Jalgaon,656573,1549391,13,42.38
S13,Maharashtra,4,Raver,720038,1418691,19,50.75
S13,Maharashtra,5,Buldhana,853668,1382736,15,61.74
S13,Maharashtra,6,Akola,739255,1480606,11,49.93
S13,Maharashtra,7,Amravati,732574,1423855,22,51.45
S13,Maharashtra,8,Wardha,769255,1408781,16,54.6
S13,Maharashtra,9,Ramtek,764884,1502900,20,50.89
S13,Maharashtra,10,Nagpur,755684,1738920,27,43.46
S13,Maharashtra,11,Bhandara - gondiya,1033231,1450477,21,71.23
S13,Maharashtra,12,Gadchiroli-Chimur,837880,1285387,11,65.19
S13,Maharashtra,13,Chandrapur,899430,1536352,23,58.54
S13,Maharashtra,14,Yavatmal-Washim,840248,1554042,28,54.07
S13,Maharashtra,15,Hingoli,817543,1369774,11,59.68
S13,Maharashtra,16,Nanded,774686,1439015,22,53.83
S13,Maharashtra,17,Parbhani,870750,1610088,19,54.08
S13,Maharashtra,18,Jalna,797131,1426255,19,55.89
S13,Maharashtra,19,Aurangabad,731148,1417964,22,51.56
S13,Maharashtra,20,Dindori,681630,1432938,9,47.57
S13,Maharashtra,21,Nashik,657890,1448414,12,45.42
S13,Maharashtra,22,Palghar,732590,1523061,8,48.1
S13,Maharashtra,23,Bhiwandi,584379,1483176,16,39.4
S13,Maharashtra,24,Kalyan,544997,1588507,20,34.31
S13,Maharashtra,25,Thane,749879,1806803,30,41.5
S13,Maharashtra,26,Mumbai North,685454,1608924,23,42.6
S13,Maharashtra,27,Mumbai North West,707157,1604992,21,44.06
S13,Maharashtra,28,Mumbai North East,667932,1572890,16,42.47
S13,Maharashtra,29,Mumbai North central,664661,1681985,19,39.52
S13,Maharashtra,30,Mumbai South central,598853,1515899,23,39.5
S13,Maharashtra,31,Mumbai   South,641735,1589811,20,40.37
S13,Maharashtra,32,Raigad,767678,1359830,7,56.45
S13,Maharashtra,33,Maval,717773,1604886,18,44.72
S13,Maharashtra,34,Pune,735071,1806953,36,40.68
S13,Maharashtra,35,Baramati,735381,1593460,17,46.15
S13,Maharashtra,36,Shirur,839271,1630466,11,51.47
S13,Maharashtra,37,Ahmadnagar,787330,1517951,15,51.87
S13,Maharashtra,38,Shirdi,664001,1317890,17,50.38
S13,Maharashtra,39,Beed,1073989,1637239,21,65.6
S13,Maharashtra,40,Osmanabad,924717,1608852,25,57.48
S13,Maharashtra,41,Latur,829488,1509987,18,54.93
S13,Maharashtra,42,Solapur,743338,1594138,13,46.63
S13,Maharashtra,43,Madha,920314,1558442,15,59.05
S13,Maharashtra,44,Sangli,776868,1490571,14,52.12
S13,Maharashtra,45,Satara,816976,1546146,5,52.84
S13,Maharashtra,46,Ratnagiri - sindhudurg,718722,1252255,9,57.39
S13,Maharashtra,47,Kolhapur,1029317,1583030,10,65.02
S13,Maharashtra,48,Hatkanangle,979460,1458560,10,67.15
S14,Manipur,1,Inner manipur,583226,826755,7,70.54
S14,Manipur,2,Outer manipur,759083,909496,9,83.46
S15,Meghalaya,1,Shillong,480423,771965,7,62.23
S15,Meghalaya,2,Tura,342191,505774,4,67.66
S16,Mizoram,1,MIZORAM,326424,629374,4,51.86
S17,Nagaland,1,Nagaland,1189742,1321878,3,90
S18,Orissa,1,Bargarh,919932,1320274,6,69.68
S18,Orissa,2,Sundargarh,767801,1248955,9,61.48
S18,Orissa,3,Sambalpur,800513,1233251,7,64.91
S18,Orissa,4,Keonjhar,891798,1265225,7,70.49
S18,Orissa,5,Mayurbhanj,825887,1173650,10,70.37
S18,Orissa,6,Balasore,892517,1269342,9,70.31
S18,Orissa,7,Bhadrak,929168,1372356,6,67.71
S18,Orissa,8,Jajpur,817378,1227088,8,66.61
S18,Orissa,9,Dhenkanal,856721,1283608,5,66.74
S18,Orissa,10,Bolangir,1012466,1443484,5,70.14
S18,Orissa,11,Kalahandi,979185,1421959,8,68.86
S18,Orissa,12,Nabarangpur,791938,1215653,4,65.15
S18,Orissa,13,Kandhamal,707754,1065279,9,66.44
S18,Orissa,14,Cuttack,813811,1283576,7,63.4
S18,Orissa,15,Kendrapara,983078,1434425,8,68.53
S18,Orissa,16,Jagatsinghpur,983773,1455406,5,67.59
S18,Orissa,17,Puri,910743,1322817,7,68.85
S18,Orissa,18,Bhubaneswar,711171,1447002,13,49.15
S18,Orissa,19,Aska,701999,1286194,9,54.58
S18,Orissa,20,Berhampur,711498,1207552,9,58.92
S18,Orissa,21,Koraput,762892,1217768,6,62.65
S19,Punjab,1,Gurdaspur,933486,1318967,13,70.77
S19,Punjab,2,Amritsar,814641,1241099,14,65.64
S19,Punjab,3,Khadoor Sahib,946683,1340145,15,70.64
S19,Punjab,4,Jalandhar,900042,1339842,15,67.18
S19,Punjab,5,Hoshiarpur,843375,1299234,12,64.91
S19,Punjab,6,Anandpur Sahib,905104,1338596,14,67.62
S19,Punjab,7,Ludhiana,847033,1309308,30,64.69
S19,Punjab,8,Fatehgarh Sahib,838147,1207556,11,69.41
S19,Punjab,9,Faridkot,931176,1288090,15,72.29
S19,Punjab,10,Ferozpur,957048,1342488,27,71.29
S19,Punjab,11,Bathinda,1049595,1336790,22,78.52
S19,Punjab,12,Sangrur,931468,1251401,16,74.43
S19,Punjab,13,Patiala,936085,1344864,14,69.6
S20,Rajasthan,1,Ganganagar,909655,1491983,15,60.97
S20,Rajasthan,2,Bikaner,569884,1381203,10,41.26
S20,Rajasthan,3,Churu,803625,1532266,15,52.45
S20,Rajasthan,4,Jhunjhunu,602168,1432581,13,42.03
S20,Rajasthan,5,Sikar,725751,1507740,16,48.14
S20,Rajasthan,6,Jaipur Rural,686890,1444949,21,47.54
S20,Rajasthan,7,Jaipur,813014,1684541,25,48.26
S20,Rajasthan,8,Alwar,764086,1373384,16,55.64
S20,Rajasthan,9,BHARATPUR,561027,1437111,14,39.04
S20,Rajasthan,10,KARAULI-DHOLPUR,487124,1303196,16,37.38
S20,Rajasthan,11,Dausa,841654,1315810,14,63.96
S20,Rajasthan,12,TONK-SAWAI MADHOPUR,802118,1510047,17,53.12
S20,Rajasthan,13,Ajmer,771331,1455339,8,53
S20,Rajasthan,14,Nagaur,610489,1486307,8,41.07
S20,Rajasthan,15,Pali,723185,1682713,14,42.98
S20,Rajasthan,16,Jodhpur,681904,1506821,14,45.25
S20,Rajasthan,17,Barmer,785212,1441456,7,54.47
S20,Rajasthan,18,Jalore,577657,1520957,22,37.98
S20,Rajasthan,19,Udaipur,758450,1564137,8,48.49
S20,Rajasthan,20,Banswara,769873,1457980,7,52.8
S20,Rajasthan,21,Chittorgarh,795292,1601444,15,49.66
S20,Rajasthan,22,Rajsamand,591636,1489231,13,39.73
S20,Rajasthan,23,Bhilwara,754708,1492687,10,50.56
S20,Rajasthan,24,Kota,682801,1498971,14,45.55
S20,Rajasthan,25,JHALAWAR-BARAN,872474,1447157,14,60.29
S21,Sikkim,1,Sikkim,252274,300584,7,83.93
S22,Tamil Nadu,1,Thiruvallur,849754,1204209,14,70.57
S22,Tamil Nadu,2,Chennai North,659920,1016663,29,64.91
S22,Tamil Nadu,3,Chennai South,728113,1162062,43,62.66
S22,Tamil Nadu,4,Chennai central,610808,1000705,37,61.04
S22,Tamil Nadu,5,Sriperumbudur,794054,1201237,32,66.1
S22,Tamil Nadu,6,Kancheepuram,787103,1060188,20,74.24
S22,Tamil Nadu,7,Arakkonam,855122,1098607,20,77.84
S22,Tamil Nadu,8,Vellore,724156,1010067,24,71.69
S22,Tamil Nadu,9,Krishnagiri,752586,1014758,16,74.16
S22,Tamil Nadu,10,Dharmapuri,778160,1069601,21,72.75
S22,Tamil Nadu,11,Tiruvannamalai,840875,1052587,30,79.89
S22,Tamil Nadu,12,Arani,841239,1097865,13,76.62
S22,Tamil Nadu,13,Viluppuram,796642,1068171,19,74.58
S22,Tamil Nadu,14,Kallakurichi,854955,1106352,29,77.28
S22,Tamil Nadu,15,Salem,895858,1171839,23,76.45
S22,Tamil Nadu,16,Namakkal,846414,1075526,25,78.7
S22,Tamil Nadu,17,Erode,767466,1010079,25,75.98
S22,Tamil Nadu,18,Tiruppur,742012,993758,21,74.67
S22,Tamil Nadu,19,Nilgiris,710186,1003168,14,70.79
S22,Tamil Nadu,20,Coimbatore,824457,1163781,25,70.84
S22,Tamil Nadu,21,Pollachi,771831,1017811,22,75.83
S22,Tamil Nadu,22,Dindigul,820561,1085696,19,75.58
S22,Tamil Nadu,23,Karur,825125,1012924,38,81.46
S22,Tamil Nadu,24,Tiruchirappalli,718714,1067193,24,67.35
S22,Tamil Nadu,25,Perambalur,832427,1049033,21,79.35
S22,Tamil Nadu,26,Cuddalore,749994,986030,11,76.06
S22,Tamil Nadu,27,Chidambaram,871085,1126828,13,77.3
S22,Tamil Nadu,28,Mayiladuthurai,799586,1091519,23,73.25
S22,Tamil Nadu,29,Nagapattinam,763410,982352,7,77.71
S22,Tamil Nadu,30,Thanjavur,807786,1054118,13,76.63
S22,Tamil Nadu,31,Sivaganga,775416,1092438,20,70.98
S22,Tamil Nadu,32,Madurai,792122,1022421,12,77.48
S22,Tamil Nadu,33,Theni,800649,1074931,22,74.48
S22,Tamil Nadu,34,Virudhunagar,767653,992051,16,77.38
S22,Tamil Nadu,35,Ramanathapuram,778335,1133391,15,68.67
S22,Tamil Nadu,36,Thoothukkudi,656169,949153,15,69.13
S22,Tamil Nadu,37,Tenkasi,746598,1063614,9,70.19
S22,Tamil Nadu,38,Tirunelveli,701132,1059687,21,66.16
S22,Tamil Nadu,39,Kanniyakumari,765663,1178047,22,64.99
S23,Tripura,1,Tripura West,938736,1093799,10,85.82
S23,Tripura,2,Tripura East,821749,988466,9,83.13
S24,Uttar Pradesh,1,Saharanpur,821122,1298132,15,63.25
S24,Uttar Pradesh,2,Kairana,725758,1282551,15,56.59
S24,Uttar Pradesh,3,Muzaffarnagar,745829,1370117,23,54.44
S24,Uttar Pradesh,4,Bijnor,708109,1287070,23,55.02
S24,Uttar Pradesh,5,Nagina,643490,1196566,14,53.78
S24,Uttar Pradesh,6,Moradabad,761009,1388525,18,54.81
S24,Uttar Pradesh,7,Rampur,606179,1154544,16,52.5
S24,Uttar Pradesh,8,Sambhal,681957,1290810,11,52.83
S24,Uttar Pradesh,9,Amroha,706982,1173915,20,60.22
S24,Uttar Pradesh,10,Meerut,727711,1508788,29,48.23
S24,Uttar Pradesh,11,Baghpat,613847,1280602,16,47.93
S24,Uttar Pradesh,12,Ghaziabad,829842,1831688,16,45.3
S24,Uttar Pradesh,13,Gautam buddh Nagar,739047,1522397,26,48.54
S24,Uttar Pradesh,14,Bulandshahr,668483,1482749,16,45.08
S24,Uttar Pradesh,15,Aligarh,692645,1345351,23,51.48
S24,Uttar Pradesh,16,Hathras,648468,1437725,10,45.1
S24,Uttar Pradesh,17,Mathura,726515,1341649,16,54.15
S24,Uttar Pradesh,18,Agra,647123,1539683,15,42.03
S24,Uttar Pradesh,19,Fatehpur sikri,693947,1345742,14,51.57
S24,Uttar Pradesh,20,Firozabad,684904,1422243,16,48.16
S24,Uttar Pradesh,21,Mainpuri,695980,1399259,15,49.74
S24,Uttar Pradesh,22,Etah,568344,1278295,19,44.46
S24,Uttar Pradesh,23,Badaun,737308,1405695,10,52.45
S24,Uttar Pradesh,24,Aonla,705013,1310878,13,53.78
S24,Uttar Pradesh,25,Bareilly,705793,1401423,8,50.36
S24,Uttar Pradesh,26,Pilibhit,837939,1310007,16,63.96
S24,Uttar Pradesh,27,Shahjahanpur,792508,1627964,15,48.68
S24,Uttar Pradesh,28,Kheri,708055,1297088,12,54.59
S24,Uttar Pradesh,29,Dhaurahra,759610,1269584,12,59.83
S24,Uttar Pradesh,30,Sitapur,705007,1230078,16,57.31
S24,Uttar Pradesh,31,Hardoi,574637,1416949,11,40.55
S24,Uttar Pradesh,32,Misrikh,607887,1464770,13,41.5
S24,Uttar Pradesh,33,Unnao,904592,1818980,21,49.73
S24,Uttar Pradesh,34,Mohanlalganj,694980,1500237,7,46.32
S24,Uttar Pradesh,35,Lucknow,584055,1653123,41,35.33
S24,Uttar Pradesh,36,Rae bareli,666661,1379507,16,48.33
S24,Uttar Pradesh,37,Amethi,646650,1431787,16,45.16
S24,Uttar Pradesh,38,Sultanpur,707855,1430955,16,49.47
S24,Uttar Pradesh,39,Pratapgarh,641015,1435159,23,44.67
S24,Uttar Pradesh,40,Farrukhabad,612451,1306214,16,46.89
S24,Uttar Pradesh,41,Etawah,638131,1416867,13,45.04
S24,Uttar Pradesh,42,Kannauj,741957,1504276,16,49.32
S24,Uttar Pradesh,43,Kanpur,512921,1390055,18,36.9
S24,Uttar Pradesh,44,Akbarpur,637493,1461050,17,43.63
S24,Uttar Pradesh,45,Jalaun,797678,1684988,16,47.34
S24,Uttar Pradesh,46,Jhansi,861859,1562082,18,55.17
S24,Uttar Pradesh,47,Hamirpur,725511,1498840,16,48.4
S24,Uttar Pradesh,48,Banda,619793,1386265,15,44.71
S24,Uttar Pradesh,49,Fatehpur,694394,1536621,18,45.19
S24,Uttar Pradesh,50,Kaushambi,551601,1391312,10,39.65
S24,Uttar Pradesh,51,Phulpur,552190,1426450,24,38.71
S24,Uttar Pradesh,52,Allahabad,550217,1267492,31,43.41
S24,Uttar Pradesh,53,Barabanki,743567,1422218,15,52.28
S24,Uttar Pradesh,54,Faizabad,749172,1500160,23,49.94
