Record ID,Institute,WorkArea,CESSATION YEAR,Reason for ceasing employment,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,Gender.     What is your Gender?,CurrentAge.     Current Age,Employment Type.     Employment Type,Classification.     Classification,LengthofServiceOverall. Overall Length of Service at Institute (in years),LengthofServiceCurrent. Length of Service at current workplace (in years)
634199393528500000,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634199520161313000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
634199595826715000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Temporary Full-time,Tutor,Less than 1 year,Less than 1 year
634200229589215000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,46  50,Temporary Part-time,Professional Officer (PO),Less than 1 year,Less than 1 year
634201137431070000,Tropical North Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,
634201997218101000,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
634205577322164000,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Retirement,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Female,56 or older,Permanent Part-time,Teacher (including LVT),11-20,11-20
634206210361383000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,Career Move - Private Sector,-,-,-,-,-,-,-,-,Other,-,,,,,,
634207964363344000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,,,,,,
634207971987250000,The Bremer Institute of TAFE,Delivery (teaching),2010.0,Termination,,,,,,,,,,,,,,,,,,
634208063783969000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
634208993864195000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,26  30,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
634209003247164000,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Female,36  40,Permanent Full-time,Teacher (including LVT),11-20,11-20
634209012525289000,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,Male,31  35,Permanent Full-time,Teacher (including LVT),3-4,3-4
634209019387633000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Male,56 or older,Permanent Full-time,Administration (AO),More than 20 years,More than 20 years
634209026016695000,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Male,36  40,Permanent Full-time,Teacher (including LVT),11-20,11-20
634209027931539000,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,Career Move - Public Sector,Career Move - Private Sector,-,-,-,-,-,-,-,-,Other,-,Male,51-55,Permanent Full-time,Teacher (including LVT),11-20,11-20
634209037420601000,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,56 or older,Permanent Part-time,Teacher (including LVT),More than 20 years,More than 20 years
634211542757094000,Tropical North Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Male,31  35,Permanent Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634212412239976000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Transfer,Career Move - Public Sector,-,-,-,Maternity/Family,-,Job Dissatisfaction,-,-,-,-,-,Female,31  35,Permanent Part-time,Administration (AO),7-10,7-10
634213196498570000,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Administration (AO),3-4,3-4
634214004205914000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
634214138447945000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,,,,,,,,,,,,,,,,,,
634214156864906000,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,41  45,Permanent Full-time,Administration (AO),3-4,3-4
634214849407633000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
634217422828726000,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,Other,-,,,,,,
634218492665219000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634219251646781000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,26  30,Temporary Full-time,Administration (AO),3-4,3-4
634219263224125000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,26  30,Permanent Full-time,Tutor,3-4,1-2
634219274566469000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,56 or older,Permanent Full-time,Administration (AO),3-4,3-4
634219394328258000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
634219407445375000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,Female,56 or older,Permanent Full-time,Administration (AO),3-4,3-4
634219413623344000,Sunshine Coast Institute of TAFE,Delivery (teaching),2009.0,Contract Expired,,,,,,,,,,,,,Male,26  30,Permanent Full-time,Tutor,3-4,3-4
634219425466156000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2009.0,Contract Expired,,,,,,,,,,,,,Female,51-55,Permanent Full-time,Administration (AO),11-20,11-20
634220006275757000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2009.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Male,51-55,Permanent Full-time,Operational (OO),3-4,3-4
634220145175757000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,Male,46  50,Permanent Full-time,Operational (OO),11-20,Less than 1 year
634221044292008000,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,Other,-,Female,21  25,Permanent Full-time,Administration (AO),Less than 1 year,Less than 1 year
634223513490601000,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),1-2,1-2
634224469051226000,Tropical North Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634225251664195000,Sunshine Coast Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
634226171903257000,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,51-55,Permanent Full-time,Teacher (including LVT),3-4,3-4
634227157286851000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Transfer,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,51-55,Permanent Full-time,Administration (AO),3-4,3-4
634227185069750000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,36  40,Permanent Full-time,Professional Officer (PO),7-10,7-10
634227207368969000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,51-55,Permanent Full-time,Administration (AO),5-6,5-6
634227222513344000,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Contract/casual,Teacher (including LVT),Less than 1 year,11-20
634231466668883000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,20 or younger,Temporary Full-time,Administration (AO),Less than 1 year,1-2
634232185219039000,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
634235863003594000,Barrier Reef Institute of TAFE,Delivery (teaching),2010.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,51-55,Temporary Full-time,Teacher (including LVT),3-4,1-2
634238426001094000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,51-55,Temporary Full-time,Administration (AO),1-2,1-2
634239303982500000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Transfer,-,-,-,Ill Health,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),1-2,1-2
634241795347656000,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,41  45,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
634243628858726000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,46  50,Permanent Full-time,Administration (AO),7-10,7-10
634243664081406000,Barrier Reef Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Male,41  45,Temporary Part-time,Teacher (including LVT),5-6,5-6
634245133689063000,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,41  45,Permanent Full-time,Administration (AO),5-6,3-4
634250266309976000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,20 or younger,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
634250409172945000,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,56 or older,Contract/casual,Teacher (including LVT),3-4,3-4
634251116016226000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,26  30,Permanent Full-time,Administration (AO),7-10,1-2
634251290130132000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,Ill Health,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Female,41  45,Permanent Part-time,Administration (AO),3-4,3-4
634257448030289000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
634259752467320000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
634260719918915000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,41  45,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634263394624001000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),,Contract Expired,,,,,,,,,,,,,,,,,,
634266079365634000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,Ill Health,-,-,-,-,-,-,-,-,,,,,,
634266938733603000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,31  35,Permanent Full-time,Administration (AO),11-20,11-20
634267725903290000,Central Queensland Institute of TAFE,Delivery (teaching),,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),11-20,11-20
634267873855009000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
634268423021657000,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Male,51-55,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
634268446707283000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,Other,-,Female,31  35,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
634268641051884000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,,,,,,
634269438105095000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,Study,-,-,-,Male,21  25,Contract/casual,Administration (AO),1-2,1-2
634272910039626000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,56 or older,Permanent Part-time,Administration (AO),11-20,11-20
634273756721501000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,46  50,Permanent Full-time,Professional Officer (PO),5-6,5-6
634274542281501000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,
634274566132353000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,
634275489048845000,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Female,36  40,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634280719819371000,Wide Bay Institute of TAFE,Non-Delivery (corporate),,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,36  40,Permanent Full-time,Administration (AO),11-20,11-20
634281400568746000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,41  45,Permanent Full-time,Professional Officer (PO),3-4,3-4
634281450090309000,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Termination,,,,,,,,,,,,,Female,51-55,Temporary Full-time,Administration (AO),1-2,1-2
634284989401715000,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,36  40,Contract/casual,Executive (SES/SO),Less than 1 year,Less than 1 year
634285674608023000,Brisbane North Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Male,41  45,Temporary Full-time,Workplace Training Officer,1-2,1-2
634285909851304000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Female,26  30,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634285952710835000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
634286548594429000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
634286658782965000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,
634297824199371000,Brisbane North Institute of TAFE,Non-Delivery (corporate),,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Travel,-,-,,,,,,
634298884567184000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,26  30,Permanent Full-time,Administration (AO),7-10,7-10
634304735958746000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Male,21  25,Contract/casual,Technical Officer (TO),Less than 1 year,Less than 1 year
634309981362554000,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,Male,56 or older,Permanent Full-time,Teacher (including LVT),11-20,More than 20 years
634310121282710000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
634310942921246000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,Male,41  45,Temporary Full-time,Operational (OO),11-20,11-20
634314358367965000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
634315046486772000,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,36  40,Contract/casual,Administration (AO),1-2,Less than 1 year
634316886387496000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,Maternity/Family,-,-,-,-,-,-,-,Male,46  50,Permanent Full-time,Teacher (including LVT),3-4,3-4
634317688380679000,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Study,-,-,-,Female,26  30,Permanent Full-time,Administration (AO),3-4,Less than 1 year
634317845042866000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Transfer,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,56 or older,Permanent Full-time,Teacher (including LVT),5-6,1-2
634322927651559000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634323115021460000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634323709021402000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
634323732465523000,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Termination,,,,,,,,,,,,,Female,46  50,Permanent Full-time,Administration (AO),7-10,7-10
634323806434371000,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,46  50,Contract/casual,Administration (AO),3-4,3-4
634326352243491000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,Other,-,Female,21  25,Temporary Full-time,Administration (AO),1-2,1-2
634326378183960000,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,,,,,,
634326454148590000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,Ill Health,-,-,-,-,-,-,Other,-,Female,41  45,Temporary Part-time,Operational (OO),1-2,1-2
634328087765991000,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,Ill Health,-,-,-,-,-,-,-,-,Female,51-55,Temporary Part-time,Operational (OO),Less than 1 year,Less than 1 year
