ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
47,Voluntary Early Retirement (VER),2012,2008,2008,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,
48,Age Retirement,2012,1980,1993,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
49,Resignation-Move overseas/interstate,2012,2009,2010,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,21-25,,,,,
50,Age Retirement,2012,1963,2007,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
51,Resignation-Move overseas/interstate,2012,2009,2010,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,21-25,,,,,
52,Resignation-Other reasons,2012,1993,1993,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
53,Other,2012,1982,1983,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
54,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
55,Age Retirement,2012,1979,2008,Teacher,Special Education,Metropolitan,,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
56,Resignation-Other employer,2012,2008,2008,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,,,,,
57,Age Retirement,2012,1990,1990,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
58,Resignation-Other employer,2012,2003,2012,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,46-50,,,,,
59,Ill Health Retirement,2012,1980,2012,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Female,51-55,,,,,
60,Age Retirement,2012,Not Stated,Not Stated,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,61 or older,,,,,
61,Age Retirement,2012,1977,1987,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,46-50,,,,,
62,Resignation-Other reasons,2012,2011,2011,Schools Officer,,Central Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,31-35,,,,,
63,Age Retirement,2012,1990,1990,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
64,Ill Health Retirement,2012,1989,1989,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,Male,56-60,,,,,
65,Age Retirement,2012,1969,1985,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,,,,,
66,Age Retirement,2012,1966,1985,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,61 or older,,,,,
67,Other,2012,1969,2007,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,
68,Other,2012,Not Stated,Not Stated,Teacher Aide,,Central Office,Education Queensland,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,26-30,,,,,
69,Age Retirement,2012,1980,2006,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,61 or older,,,,,
70,Resignation-Other reasons,2012,2006,Not Stated,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
71,Age Retirement,2012,1975,1975,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,Female,56-60,,,,,
72,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,,,,,
73,Age Retirement,2012,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,56-60,,,,,
74,Contract Expired,2012,2009,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,,,,,
75,Age Retirement,2012,1975,1975,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
76,Contract Expired,2012,2010,2012,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,,,,,Yes
77,Ill Health Retirement,2012,1984,2010,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
78,Termination,2012,2007,2007,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,,,,,
79,Contract Expired,2012,2008,2012,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,21-25,,,,,
80,Termination,2012,2007,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Male,26-30,,,,,
81,Contract Expired,2012,1968,2004,Public Servant,AO5-AO7,Central Office,Other,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
82,Contract Expired,2012,2011,2011,Technical Officer,,Central Office,Education Queensland,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,,,,Yes,
83,Voluntary Early Retirement (VER),2012,1991,2010,Deputy Principal,,Not Stated,,Permanent Full-time,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,Yes,,,,
84,Contract Expired,2012,2011,2012,Public Servant,A01-A04,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,Yes
85,Termination,2012,2010,2010,Public Servant,AO5-AO7,Not Stated,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
86,Age Retirement,2012,1971,1975,School Principal,,Metropolitan,,Permanent Full-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,Male,56-60,,,,,
87,Termination,2012,2011,2011,Public Servant,A01-A04,South East,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,56-60,,,,,
88,Resignation-Move overseas/interstate,2012,2007,2007,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,26-30,,,,,
89,Termination,2012,2002,2011,Public Servant,AO5-AO7,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,46-50,,,,,
90,Age Retirement,2013,1972,1975,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,,,,,
91,Resignation-Other employer,2012,1986,1986,Teacher Aide,,North Coast,,Permanent Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
92,Age Retirement,2012,1975,1978,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Male,56-60,,,,,
93,Age Retirement,2012,1972,2008,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
94,Resignation-Move overseas/interstate,2012,2002,2002,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,
95,Voluntary Early Retirement (VER),2012,1973,1976,Teacher,Primary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,Yes
96,Age Retirement,2012,1979,2008,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,
97,Age Retirement,2012,1971,2008,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56-60,,,,,
98,Age Retirement,2012,1978,1996,,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,
99,Age Retirement,2012,2002,2004,Schools Officer,,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,,,,,
100,Resignation-Move overseas/interstate,2012,2011,2011,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,31-35,,,,,
101,Resignation-Other reasons,2012,2006,2008,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,,,,,
102,Age Retirement,2012,1978,2001,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
103,Resignation-Other reasons,2012,2002,2007,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
104,Resignation-Other reasons,2012,2004,2008,,,Metropolitan,,Permanent Part-time,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
105,Age Retirement,2012,1979,1979,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
106,Age Retirement,2012,2000,2000,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
107,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,Central Office,Training and Tertiary Education Queensland,Temporary Part-time,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,Female,46-50,,,Yes,,
108,Ill Health Retirement,2012,1998,2002,Teacher,Special Education,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,,,,,
109,Resignation-Other reasons,2012,2008,2009,Technical Officer,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,
110,Age Retirement,2012,1990,Not Stated,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
111,Ill Health Retirement,2012,1991,1996,Teacher,Primary,Not Stated,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,61 or older,,,,,
112,Resignation-Other reasons,2012,2004,2004,Teacher,Special Education,Far North Queensland,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,,,,
113,Resignation-Other reasons,2012,2007,2007,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
114,Age Retirement,2012,2009,2009,Schools Officer,,Not Stated,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,Yes,,,,
115,Resignation-Move overseas/interstate,2012,1997,2004,Guidance Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
116,Age Retirement,2012,1974,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
117,Resignation-Other reasons,2012,1976,1976,,,South East,,Permanent Full-time,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,,,,,
118,Ill Health Retirement,2012,1986,1986,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
119,Resignation-Other employer,2012,2010,2010,Teacher,Secondary,Not Stated,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,,,,,
120,Contract Expired,2012,2008,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,,,,,
121,Termination,2012,2009,2009,Public Servant,AO5-AO7,Central Office,Education Queensland,Temporary Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,26-30,,,,,
122,Contract Expired,2012,Not Stated,Not Stated,Public Servant,A01-A04,South East,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,,,,,
123,Age Retirement,2012,1979,1979,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
124,Ill Health Retirement,2012,Not Stated,Not Stated,Schools Officer,,Not Stated,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,
125,Resignation-Other employer,2012,2012,2012,Public Servant,A01-A04,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,36-40,,,,,
126,Age Retirement,2012,1991,1991,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,Yes
127,Resignation-Other reasons,2012,1980,1989,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,
128,Age Retirement,2013,1989,1989,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,,,,,
129,Age Retirement,2012,1977,2001,Teacher,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,
130,Voluntary Early Retirement (VER),2012,1975,1996,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Female,56-60,,,,,
131,Resignation-Other employer,2012,2012,2012,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,
132,Age Retirement,2012,1990,1992,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
133,Resignation-Other reasons,2012,2007,2010,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,
134,Age Retirement,2012,Not Stated,Not Stated,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
135,Voluntary Early Retirement (VER),2012,1983,1988,Business Service Manager,,Far North Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,46-50,,,,,
136,Resignation-Other reasons,2012,1994,1994,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
137,Ill Health Retirement,2012,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
138,Age Retirement,2012,2001,2001,Teacher,,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
139,Resignation-Other employer,2012,2004,2005,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
140,Ill Health Retirement,2012,1974,1995,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56-60,,,,,
