index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
79,2017-09-16,NorthEastern,29.11,29.85,,,24.64,19.61
80,2017-09-17,Northern,628.08,682.88,30.36,30.79,273.27,242.68
81,2017-09-17,Western,"1,131.56","1,164.03",25.17,3.87,72.0,12.37
82,2017-09-17,Southern,596.08,494.17,62.73,55.03,111.57,43.19
83,2017-09-17,Eastern,486.07,421.62,,,85.94,72.32
84,2017-09-17,NorthEastern,29.11,28.72,,,24.64,19.98
85,2017-09-18,Northern,628.08,701.28,30.36,28.65,273.27,244.07
86,2017-09-18,Western,"1,131.56","1,172.61",25.17,3.85,72.0,15.09
87,2017-09-18,Southern,596.08,480.53,62.73,55.2,111.57,53.84
88,2017-09-18,Eastern,486.07,390.63,,,85.94,67.06
89,2017-09-18,NorthEastern,29.11,28.67,,,24.64,20.88
90,2017-09-19,Northern,628.08,704.14,30.36,26.21,273.27,240.35
91,2017-09-19,Western,"1,131.56","1,171.83",25.17,3.85,72.0,15.72
92,2017-09-19,Southern,596.08,472.32,62.73,55.17,111.57,58.74
93,2017-09-19,Eastern,486.07,417.92,,,85.94,69.41
94,2017-09-19,NorthEastern,29.11,30.77,,,24.64,20.24
95,2017-09-20,Northern,624.13,719.08,30.36,26.15,273.27,238.72
96,2017-09-20,Western,"1,131.56","1,138.76",25.17,3.85,72.0,19.65
97,2017-09-20,Southern,584.76,479.67,62.73,55.13,111.57,78.19
98,2017-09-20,Eastern,486.07,418.22,,,85.94,66.42
99,2017-09-20,NorthEastern,29.11,30.31,,,24.64,21.97
100,2017-09-21,Northern,624.13,710.69,30.36,26.18,273.27,239.27
101,2017-09-21,Western,"1,131.56","1,142.49",25.17,3.84,72.0,16.74
102,2017-09-21,Southern,596.96,524.50,62.73,55.23,111.57,95.32
103,2017-09-21,Eastern,486.07,438.60,,,85.94,76.02
104,2017-09-21,NorthEastern,29.11,27.53,,,24.64,22.08
105,2017-09-22,Northern,222.44,209.74,0.0,0.0,68.81,62.09
106,2017-09-22,Western,419.55,409.17,0.0,0.0,44.54,3.8
107,2017-09-22,Southern,270.69,191.91,0.0,0.0,0.0,0.0
108,2017-09-22,Eastern,147.51,138.30,,,3.37,2.65
109,2017-09-22,NorthEastern,12.34,12.38,,,0.0,0.0
110,2017-09-23,Northern,624.13,523.93,30.36,30.2,273.27,279.9
111,2017-09-23,Western,"1,135.69","1,146.57",25.17,3.83,72.0,21.41
112,2017-09-23,Southern,587.32,578.34,62.73,55.46,111.57,101.99
113,2017-09-23,Eastern,486.07,436.38,,,85.94,73.2
114,2017-09-23,NorthEastern,29.11,28.05,,,24.64,21.42
115,2017-09-24,Northern,624.13,520.12,30.36,31.43,273.27,292.18
116,2017-09-24,Western,"1,140.12","1,168.59",25.17,3.83,72.0,16.95
117,2017-09-24,Southern,587.32,556.37,62.73,55.38,111.57,72.42
118,2017-09-24,Eastern,486.07,437.88,,,85.94,64.41
119,2017-09-24,NorthEastern,29.11,29.49,,,24.64,24.36
120,2017-09-25,Northern,624.13,571.59,30.36,31.41,273.27,303.26
121,2017-09-25,Western,"1,140.12","1,205.39",25.17,3.82,72.0,23.85
122,2017-09-25,Southern,591.15,550.65,62.73,55.41,111.57,77.38
123,2017-09-25,Eastern,486.07,449.09,,,85.94,71.43
124,2017-09-25,NorthEastern,29.11,29.55,,,24.64,22.31
125,2017-09-26,Northern,626.73,646.01,30.36,31.99,273.27,261.67
126,2017-09-26,Western,"1,140.12","1,237.06",25.17,3.84,72.0,28.24
127,2017-09-26,Southern,591.15,535.81,62.73,52.14,111.57,87.54
128,2017-09-26,Eastern,486.07,453.26,,,85.94,72.9
129,2017-09-26,NorthEastern,29.11,30.02,,,24.64,21.85
130,2017-09-27,Northern,626.73,661.69,30.36,35.54,273.27,254.28
131,2017-09-27,Western,"1,140.12","1,245.38",25.17,3.85,72.0,30.32
132,2017-09-27,Southern,591.15,543.71,62.73,42.16,111.57,79.2
133,2017-09-27,Eastern,486.07,445.78,,,85.94,73.83
134,2017-09-27,NorthEastern,29.11,30.10,,,24.64,21.47
135,2017-09-28,Northern,630.62,668.20,30.36,35.75,273.27,248.29
136,2017-09-28,Western,"1,140.12","1,241.16",25.17,3.83,72.0,26.39
137,2017-09-28,Southern,591.15,513.01,62.73,42.24,111.57,82.36
138,2017-09-28,Eastern,486.07,431.07,,,85.94,70.97
139,2017-09-28,NorthEastern,29.11,30.25,,,24.64,22.83
140,2017-09-29,Northern,630.62,649.48,30.36,35.81,273.27,240.09
141,2017-09-29,Western,"1,140.12","1,203.24",25.17,16.81,72.0,19.59
142,2017-09-29,Southern,601.66,485.78,62.73,40.27,111.57,83.47
143,2017-09-29,Eastern,486.07,417.12,,,85.94,71.65
144,2017-09-29,NorthEastern,29.11,29.71,,,24.64,25.09
145,2017-09-30,Northern,630.62,661.15,30.36,35.83,273.27,236.19
146,2017-09-30,Western,"1,140.12","1,134.40",25.17,16.82,72.0,18.41
147,2017-09-30,Southern,601.66,475.84,62.73,40.47,111.57,69.71
148,2017-09-30,Eastern,486.07,403.41,,,85.94,71.71
149,2017-09-30,NorthEastern,29.11,29.41,,,24.64,27.65
150,2017-10-01,Northern,621.75,650.52,25.8,36.17,157.46,222.85
151,2017-10-01,Western,"1,155.30","1,139.73",25.13,16.84,57.11,14.03
152,2017-10-01,Southern,575.70,466.38,47.73,40.16,92.06,49.74
153,2017-10-01,Eastern,479.50,382.63,,,63.36,71.06
154,2017-10-01,NorthEastern,29.16,29.11,,,17.17,27.48
155,2017-10-03,Northern,621.75,691.52,25.8,36.03,157.46,218.56
156,2017-10-03,Western,"1,155.30","1,215.31",25.13,16.83,57.11,39.96
157,2017-10-03,Southern,575.70,523.36,47.73,41.91,92.06,67.76
158,2017-10-03,Eastern,479.50,396.40,,,63.36,76.3
159,2017-10-03,NorthEastern,29.16,29.33,,,17.17,25.78
160,2017-10-04,Northern,621.75,719.34,25.8,35.95,157.46,216.91
161,2017-10-04,Western,"1,155.30","1,206.24",25.13,16.84,57.11,45.92
162,2017-10-04,Southern,575.70,548.00,47.73,43.93,92.06,80.9
163,2017-10-04,Eastern,479.50,387.92,,,63.36,80.68
164,2017-10-04,NorthEastern,29.16,30.12,,,17.17,25.15
165,2017-10-05,Northern,621.75,741.62,25.8,35.91,157.46,212.62
166,2017-10-05,Western,"1,150.82","1,221.59",25.13,16.83,57.11,33.89
167,2017-10-05,Southern,575.70,577.17,47.73,45.3,92.06,74.98
168,2017-10-05,Eastern,479.50,387.85,,,63.36,81.2
169,2017-10-05,NorthEastern,29.16,31.05,,,17.17,24.35
170,2017-10-06,Northern,621.75,742.06,25.8,35.87,157.46,209.7
171,2017-10-06,Western,"1,150.82","1,212.64",25.13,16.83,57.11,31.23
172,2017-10-06,Southern,581.31,569.68,47.73,45.87,92.06,65.89
173,2017-10-06,Eastern,479.50,401.48,,,63.36,77.08
174,2017-10-06,NorthEastern,29.16,31.36,,,17.17,23.01
175,2017-10-07,Northern,621.75,750.10,25.8,36.04,157.46,208.0
176,2017-10-07,Western,"1,150.82","1,203.27",25.13,16.83,57.11,24.51
177,2017-10-07,Southern,581.31,573.48,47.73,46.09,92.06,74.06
178,2017-10-07,Eastern,479.50,402.74,,,63.36,73.75
179,2017-10-07,NorthEastern,29.16,30.95,,,17.17,21.94
180,2017-10-08,Northern,621.75,728.14,25.8,36.1,157.46,200.47
181,2017-10-08,Western,"1,150.82","1,157.01",25.13,16.84,57.11,16.51
182,2017-10-08,Southern,590.19,524.03,47.73,46.26,92.06,71.65
183,2017-10-08,Eastern,479.50,404.25,,,63.36,72.49
184,2017-10-08,NorthEastern,29.16,30.12,,,17.17,19.52
185,2017-10-09,Northern,621.75,727.35,25.8,36.01,157.46,195.33
186,2017-10-09,Western,"1,155.30","1,160.06",25.13,16.83,57.11,18.71
187,2017-10-09,Southern,590.19,550.53,47.73,46.15,92.06,94.72
188,2017-10-09,Eastern,479.50,413.99,,,63.36,66.62
189,2017-10-09,NorthEastern,29.16,30.21,,,17.17,20.29
190,2017-10-10,Northern,621.75,721.26,25.8,36.06,157.46,191.8
191,2017-10-10,Western,"1,155.30","1,178.27",25.13,15.68,57.11,19.31
192,2017-10-10,Southern,590.19,558.62,47.73,46.2,92.06,111.74
193,2017-10-10,Eastern,479.50,419.50,,,63.36,69.8
194,2017-10-10,NorthEastern,29.16,30.48,,,17.17,21.31
195,2017-10-11,Northern,621.75,714.42,25.8,35.96,157.46,185.07
196,2017-10-11,Western,"1,155.30","1,191.84",25.13,16.02,57.11,19.11
197,2017-10-11,Southern,598.81,571.50,47.73,46.36,92.06,102.52
198,2017-10-11,Eastern,486.88,416.31,,,63.36,73.77
199,2017-10-11,NorthEastern,29.16,30.17,,,17.17,21.88
200,2017-10-12,Northern,621.75,703.75,25.8,35.79,157.46,180.93
201,2017-10-12,Western,"1,155.30","1,219.13",25.13,16.63,57.11,19.93
202,2017-10-12,Southern,598.81,574.58,47.73,46.41,92.06,102.35
203,2017-10-12,Eastern,486.88,412.28,,,63.36,76.79
204,2017-10-12,NorthEastern,29.16,29.92,,,17.17,19.9
205,2017-10-13,Northern,621.75,704.49,25.8,36.05,157.46,177.37
206,2017-10-13,Western,"1,155.30","1,226.64",25.13,16.88,57.11,21.27
207,2017-10-13,Southern,598.81,565.98,47.73,46.48,92.06,105.72
208,2017-10-13,Eastern,486.88,400.19,,,63.36,72.37
209,2017-10-13,NorthEastern,29.16,29.63,,,17.17,21.15
210,2017-10-14,Northern,618.71,684.25,25.8,36.09,157.46,170.48
211,2017-10-14,Western,"1,155.30","1,205.16",25.13,16.82,57.11,19.68
212,2017-10-14,Southern,598.81,558.71,47.73,46.41,92.06,95.59
213,2017-10-14,Eastern,486.88,419.29,,,63.36,74.79
214,2017-10-14,NorthEastern,29.16,28.71,,,17.17,20.9
215,2017-10-15,Northern,633.77,655.21,25.8,36.08,157.46,165.81
216,2017-10-15,Western,"1,155.30","1,180.41",25.13,16.89,57.11,17.75
217,2017-10-15,Southern,594.31,478.54,47.73,46.67,92.06,88.74
218,2017-10-15,Eastern,486.88,407.83,,,63.36,76.3
219,2017-10-15,NorthEastern,29.16,29.87,,,17.17,23.29
220,2017-10-16,Northern,626.17,656.71,25.8,36.31,157.46,161.47
221,2017-10-16,Western,"1,155.30","1,211.94",25.13,16.89,57.11,21.39
222,2017-10-16,Southern,602.87,493.32,47.73,48.22,92.06,96.55
223,2017-10-16,Eastern,486.88,413.23,,,63.36,49.46
224,2017-10-16,NorthEastern,29.16,30.68,,,17.17,21.29
225,2017-10-17,Northern,629.21,684.75,25.8,36.35,157.46,160.11
226,2017-10-17,Western,"1,155.30","1,219.80",25.13,16.86,57.11,18.38
227,2017-10-17,Southern,602.87,528.90,47.73,50.7,92.06,98.5
228,2017-10-17,Eastern,486.88,436.60,,,63.36,63.63
229,2017-10-17,NorthEastern,29.16,34.05,,,17.17,20.2
230,2017-10-18,Northern,629.21,670.18,25.8,36.43,157.46,156.53
231,2017-10-18,Western,"1,155.30","1,189.18",25.13,16.86,57.11,15.19
232,2017-10-18,Southern,589.87,510.02,47.73,52.29,92.06,85.72
233,2017-10-18,Eastern,486.88,432.78,,,63.36,59.9
234,2017-10-18,NorthEastern,29.16,33.71,,,17.17,20.02
235,2017-10-19,Northern,639.52,628.37,25.8,36.34,157.46,157.32
236,2017-10-19,Western,"1,153.02","1,121.42",25.13,16.85,57.11,14.78
237,2017-10-19,Southern,594.32,464.41,47.73,41.63,92.06,85.16
238,2017-10-19,Eastern,486.88,421.01,,,63.36,54.78
239,2017-10-19,NorthEastern,29.16,31.10,,,17.17,17.45
240,2017-10-20,Northern,628.36,588.78,25.8,36.12,157.46,154.62
241,2017-10-20,Western,"1,128.44","1,055.67",25.13,16.85,57.11,11.26
242,2017-10-20,Southern,594.32,483.91,47.73,43.79,92.06,90.58
243,2017-10-20,Eastern,484.80,405.91,,,63.36,55.7
244,2017-10-20,NorthEastern,29.16,28.76,,,17.17,16.83
245,2017-10-21,Northern,628.36,580.35,25.8,36.26,157.46,152.29
246,2017-10-21,Western,"1,128.44","1,056.42",25.13,16.87,57.11,15.28
247,2017-10-21,Southern,594.32,525.17,47.73,44.67,92.06,77.77
248,2017-10-21,Eastern,473.75,396.47,,,63.36,53.33
249,2017-10-21,NorthEastern,29.16,27.34,,,17.17,17.32
250,2017-10-22,Northern,628.36,593.12,25.8,36.44,157.46,151.8
251,2017-10-22,Western,"1,128.44","1,049.49",25.13,16.85,57.11,12.52
252,2017-10-22,Southern,594.32,512.06,47.73,46.27,92.06,61.65
253,2017-10-22,Eastern,469.18,412.41,,,63.36,54.17
254,2017-10-22,NorthEastern,29.16,26.81,,,17.17,22.23
255,2017-10-23,Northern,628.36,618.21,25.8,36.49,157.46,149.28
256,2017-10-23,Western,"1,128.44","1,131.33",25.13,16.85,57.11,17.87
257,2017-10-23,Southern,603.99,555.74,47.73,49.1,92.06,85.78
258,2017-10-23,Eastern,467.82,431.59,,,63.36,53.03
259,2017-10-23,NorthEastern,29.16,28.16,,,17.17,23.78
260,2017-10-24,Northern,625.88,643.17,25.8,36.56,157.46,141.92
261,2017-10-24,Western,"1,128.44","1,181.98",25.13,16.91,57.11,17.72
262,2017-10-24,Southern,603.99,608.18,47.73,51.06,92.06,72.52
263,2017-10-24,Eastern,467.82,440.35,,,63.36,64.65
264,2017-10-24,NorthEastern,29.16,29.52,,,17.17,23.06
265,2017-10-25,Northern,625.88,639.06,25.8,36.58,157.46,139.43
266,2017-10-25,Western,"1,127.02","1,198.23",25.13,16.77,57.11,22.42
267,2017-10-25,Southern,615.28,607.05,47.73,52.72,92.06,89.02
268,2017-10-25,Eastern,467.82,438.69,,,63.36,58.72
269,2017-10-25,NorthEastern,29.16,28.70,,,17.17,22.27
270,2017-10-26,Northern,625.88,619.47,25.8,36.55,157.46,138.04
271,2017-10-26,Western,"1,127.02","1,196.07",25.13,16.89,57.11,20.57
272,2017-10-26,Southern,615.28,599.14,47.73,52.81,92.06,86.3
273,2017-10-26,Eastern,467.82,439.32,,,63.36,54.62
274,2017-10-26,NorthEastern,29.16,28.93,,,17.17,20.61
275,2017-10-27,Northern,625.88,623.01,25.8,36.65,157.46,138.15
276,2017-10-27,Western,"1,127.02","1,204.84",25.13,16.85,57.11,22.28
277,2017-10-27,Southern,615.28,610.91,47.73,53.12,92.06,77.1
278,2017-10-27,Eastern,469.90,429.63,,,63.36,47.09
279,2017-10-27,NorthEastern,29.16,28.62,,,17.17,19.41
280,2017-10-28,Northern,614.95,625.74,25.8,36.6,157.46,135.12
281,2017-10-28,Western,"1,127.02","1,209.65",25.13,16.85,57.11,20.68
282,2017-10-28,Southern,615.28,604.00,47.73,53.9,92.06,71.45
283,2017-10-28,Eastern,469.90,429.20,,,63.36,42.38
284,2017-10-28,NorthEastern,29.16,27.32,,,17.17,19.11
285,2017-10-29,Northern,614.95,586.92,25.8,36.66,157.46,132.36
286,2017-10-29,Western,"1,127.02","1,191.91",25.13,16.84,57.11,17.71
287,2017-10-29,Southern,615.28,583.51,47.73,55.06,92.06,58.36
288,2017-10-29,Eastern,469.90,422.93,,,63.36,41.81
289,2017-10-29,NorthEastern,29.16,28.06,,,17.17,19.27
290,2017-10-30,Northern,614.95,582.12,25.8,36.65,157.46,132.53
291,2017-10-30,Western,"1,127.02","1,213.04",25.13,16.84,57.11,16.62
292,2017-10-30,Southern,615.28,582.53,47.73,55.46,92.06,63.28
293,2017-10-30,Eastern,469.90,425.51,,,63.36,40.32
294,2017-10-30,NorthEastern,29.16,28.94,,,17.17,19.26
295,2017-10-31,Northern,614.95,587.37,25.8,36.67,157.46,131.11
296,2017-10-31,Western,"1,127.02","1,229.73",25.13,16.85,57.11,20.03
297,2017-10-31,Southern,622.28,570.04,47.73,55.57,92.06,70.49
298,2017-10-31,Eastern,469.90,422.94,,,63.36,41.37
299,2017-10-31,NorthEastern,29.16,28.60,,,17.17,19.04
300,2017-11-01,Northern,596.89,597.39,16.8,36.61,117.5,130.08
301,2017-11-01,Western,"1,100.43","1,204.17",25.17,16.89,45.87,19.18
302,2017-11-01,Southern,594.88,559.27,47.83,55.68,72.56,55.19
303,2017-11-01,Eastern,451.11,430.68,,,36.75,39.83
304,2017-11-01,NorthEastern,29.11,32.12,,,12.92,17.97
305,2017-11-02,Northern,596.89,610.59,16.8,36.55,117.5,132.07
306,2017-11-02,Western,"1,100.43","1,204.19",25.17,16.87,45.87,22.3
307,2017-11-02,Southern,594.88,544.18,47.83,55.78,72.56,72.05
308,2017-11-02,Eastern,451.11,422.37,,,36.75,40.95
309,2017-11-02,NorthEastern,29.11,33.99,,,12.92,16.71
310,2017-11-03,Northern,596.89,610.97,16.8,36.64,117.5,129.47
311,2017-11-03,Western,"1,101.82","1,194.05",25.17,16.86,45.87,20.65
312,2017-11-03,Southern,594.88,535.80,47.83,55.96,72.56,71.23
313,2017-11-03,Eastern,451.11,437.55,,,36.75,40.48
314,2017-11-03,NorthEastern,29.11,34.66,,,12.92,15.75
315,2017-11-04,Northern,596.89,627.31,16.8,36.71,117.5,125.23
316,2017-11-04,Western,"1,101.82","1,144.65",25.17,16.85,45.87,19.4
317,2017-11-04,Southern,594.88,526.38,47.83,55.46,72.56,64.01
318,2017-11-04,Eastern,451.11,437.30,,,36.75,39.22
319,2017-11-04,NorthEastern,29.11,32.35,,,12.92,15.76
320,2017-11-05,Northern,596.89,587.17,16.8,36.66,117.5,124.54
321,2017-11-05,Western,"1,099.82","1,162.74",25.17,16.84,45.87,15.57
322,2017-11-05,Southern,599.07,495.74,47.83,50.14,72.56,38.31
323,2017-11-05,Eastern,451.11,438.22,,,36.75,37.3
324,2017-11-05,NorthEastern,29.11,30.87,,,12.92,14.99
325,2017-11-06,Northern,596.89,614.09,16.8,36.73,117.5,126.7
326,2017-11-06,Western,"1,099.82","1,221.96",25.17,16.87,45.87,25.61
327,2017-11-06,Southern,599.07,480.35,47.83,54.9,72.56,68.93
328,2017-11-06,Eastern,451.11,432.52,,,36.75,40.17
329,2017-11-06,NorthEastern,29.11,34.79,,,12.92,15.88
330,2017-11-07,Northern,596.89,617.60,16.8,36.7,117.5,125.68
331,2017-11-07,Western,"1,099.82","1,261.05",25.17,16.82,45.87,28.39
332,2017-11-07,Southern,599.07,503.14,47.83,54.99,72.56,67.16
333,2017-11-07,Eastern,454.86,424.32,,,36.75,39.33
334,2017-11-07,NorthEastern,29.11,29.06,,,12.92,16.65
335,2017-11-08,Northern,596.89,639.05,16.8,36.88,117.5,122.78
336,2017-11-08,Western,"1,099.82","1,238.80",25.17,16.88,45.87,29.9
337,2017-11-08,Southern,608.86,535.91,47.83,55.23,72.56,51.5
338,2017-11-08,Eastern,454.86,430.26,,,36.75,37.18
339,2017-11-08,NorthEastern,29.11,33.27,,,12.92,16.57
340,2017-11-09,Northern,599.39,641.82,16.8,36.87,117.5,121.18
341,2017-11-09,Western,"1,099.82","1,230.78",25.17,16.89,45.87,32.05
342,2017-11-09,Southern,608.86,575.15,47.83,55.53,72.56,52.96
343,2017-11-09,Eastern,454.86,426.79,,,36.75,35.99
344,2017-11-09,NorthEastern,29.11,32.80,,,12.92,14.72
345,2017-11-10,Northern,596.06,645.07,16.8,36.84,117.5,118.1
346,2017-11-10,Western,"1,099.82","1,199.80",25.17,16.87,45.87,30.66
347,2017-11-10,Southern,607.08,579.19,47.83,55.51,72.56,64.16
348,2017-11-10,Eastern,454.86,406.17,,,36.75,37.09
349,2017-11-10,NorthEastern,29.11,32.10,,,12.92,15.26
350,2017-11-11,Northern,596.06,605.75,21.3,36.96,117.5,117.29
351,2017-11-11,Western,"1,099.82","1,193.72",25.17,16.87,45.87,25.26
352,2017-11-11,Southern,607.08,561.02,47.83,55.44,72.56,63.44
353,2017-11-11,Eastern,454.86,416.83,,,36.75,35.11
354,2017-11-11,NorthEastern,29.11,32.08,,,12.92,15.83
355,2017-11-12,Northern,593.56,566.41,21.3,36.93,117.5,112.02
356,2017-11-12,Western,"1,099.82","1,167.47",25.17,16.86,45.87,19.38
357,2017-11-12,Southern,607.08,547.24,47.83,55.69,72.56,35.6
358,2017-11-12,Eastern,454.86,416.21,,,36.75,34.09
359,2017-11-12,NorthEastern,29.11,30.10,,,12.92,15.14
360,2017-11-13,Northern,582.56,589.98,21.3,37.01,117.5,113.11
361,2017-11-13,Western,"1,099.82","1,174.50",25.17,16.85,45.87,29.17
362,2017-11-13,Southern,607.08,575.82,47.83,55.56,72.56,57.2
363,2017-11-13,Eastern,454.86,420.78,,,36.75,38.26
364,2017-11-13,NorthEastern,29.11,28.70,,,12.92,15.69
365,2017-11-14,Northern,579.64,608.03,21.3,36.96,117.5,108.93
366,2017-11-14,Western,"1,099.82","1,179.94",25.17,16.84,45.87,29.15
367,2017-11-14,Southern,611.55,601.88,47.83,55.6,72.56,67.54
368,2017-11-14,Eastern,454.86,419.03,,,36.75,38.7
369,2017-11-14,NorthEastern,29.11,30.15,,,12.92,16.16
370,2017-11-15,Northern,568.00,599.13,21.3,36.88,117.5,111.28
371,2017-11-15,Western,"1,098.68","1,172.71",25.17,16.86,45.87,24.25
372,2017-11-15,Southern,611.55,599.82,47.83,55.54,72.56,56.87
373,2017-11-15,Eastern,475.92,407.92,,,36.75,37.27
374,2017-11-15,NorthEastern,29.11,31.16,,,12.92,15.63
375,2017-11-16,Northern,574.07,592.14,21.3,36.9,117.5,110.98
376,2017-11-16,Western,"1,098.68","1,173.19",25.17,16.95,45.87,25.5
377,2017-11-16,Southern,609.54,590.86,47.83,55.53,72.56,63.02
378,2017-11-16,Eastern,479.32,402.75,,,36.75,34.88
379,2017-11-16,NorthEastern,29.11,31.84,,,12.92,15.83
380,2017-11-17,Northern,574.07,598.33,21.3,36.93,117.5,111.15
