SNo,Date,StartupName,IndustryVertical,SubVertical,City,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,yearmonth,CleanedAmount
1609,15/06/2016,GrabOnRent,E-Commerce,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,nan,nan,2016,2016-06-01,-999.0
1610,16/06/2016,Diro Labs,Consumer Internet,Contact Management Mobile App,NCR,Info Edge (India) Ltd,Private Equity,"4,50,000",nan,2016,2016-06-01,450000.0
1611,16/06/2016,Unnati Helpers,Consumer Internet,Help Hiring Platform,NCR,Info Edge (India) Ltd,Private Equity,"6,00,000",nan,2016,2016-06-01,600000.0
1612,16/06/2016,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bangalore,Atul Ingle,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1613,16/06/2016,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity,nan,nan,2016,2016-06-01,-999.0
1614,16/06/2016,Voonik,E-Commerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000",nan,2016,2016-06-01,20000000.0
1615,16/06/2016,ThinkPhi,Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1616,17/06/2016,Cleartax,Consumer Internet,Online Tax Filing Platform,NCR,"Ravi Adusumalli, SAIF Partners",Private Equity,"1,20,00,000",nan,2016,2016-06-01,12000000.0
1617,17/06/2016,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,"9,00,000",nan,2016,2016-06-01,900000.0
1618,17/06/2016,GreytHR,Technology,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,"52,00,000",nan,2016,2016-06-01,5200000.0
1619,17/06/2016,Duffl,E-Commerce,Fashion Rental Marketplace,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1620,17/06/2016,BYG,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,nan,nan,2016,2016-06-01,-999.0
1621,20/06/2016,Dipper,E-Commerce,Freight Logistics Marketplace,NCR,Undisclosed investor,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1622,20/06/2016,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,NCR,Hamraj Kumar,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1623,20/06/2016,The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1624,21/06/2016,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,"1,50,000",nan,2016,2016-06-01,150000.0
1625,21/06/2016,REstate,Consumer Internet,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1626,21/06/2016,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,nan,nan,2016,2016-06-01,-999.0
1627,21/06/2016,ProcMart,Consumer Internet,Online Procurement Marketplace,NCR,IndiaMart,Private Equity,nan,nan,2016,2016-06-01,-999.0
1628,21/06/2016,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,"4,00,000",nan,2016,2016-06-01,400000.0
1629,21/06/2016,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,"2,25,000",nan,2016,2016-06-01,225000.0
1630,21/06/2016,CyclopsMedtech,Technology,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1631,21/06/2016,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,"1,50,000",nan,2016,2016-06-01,150000.0
1632,21/06/2016,PrettySecrets,E-Commerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,"60,00,000",nan,2016,2016-06-01,6000000.0
1633,22/06/2016,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"1,50,000",nan,2016,2016-06-01,150000.0
1634,23/06/2016,FarEye,Technology,Logistics Management Software,NCR,Saif Partners,Private Equity,"35,00,000",nan,2016,2016-06-01,3500000.0
1635,23/06/2016,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,"2,10,000",nan,2016,2016-06-01,210000.0
1636,23/06/2016,Staqu,Technology,Artificial Intelligence based search platform,NCR,Indian Angel Network,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1637,23/06/2016,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,NCR,Rise India,Private Equity,nan,nan,2016,2016-06-01,-999.0
1638,24/06/2016,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000",nan,2016,2016-06-01,50000.0
1639,24/06/2016,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,Nexus Venture Partners,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1640,24/06/2016,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,"5,00,000",nan,2016,2016-06-01,500000.0
1641,24/06/2016,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,"60,00,000",nan,2016,2016-06-01,6000000.0
1642,24/06/2016,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,"30,00,000",nan,2016,2016-06-01,3000000.0
1643,24/06/2016,KabadiExpress,Others,Free Door Step Scrap Pickup Service,NCR,Undisclosed investor,Seed Funding,"1,48,000",nan,2016,2016-06-01,148000.0
1644,27/06/2016,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,"12,00,000",nan,2016,2016-06-01,1200000.0
1645,27/06/2016,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,"1,00,000",nan,2016,2016-06-01,100000.0
1646,27/06/2016,Voler Cars,Consumer Internet,Self-Driven Car rental platform,NCR,"Kanodia family, Amit Banka",Seed Funding,nan,nan,2016,2016-06-01,-999.0
1647,27/06/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,"30,00,000",nan,2016,2016-06-01,3000000.0
1648,28/06/2016,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,NCR,"Accel Partners, RB Investments",Private Equity,"80,00,000",nan,2016,2016-06-01,8000000.0
1649,28/06/2016,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,"3,00,000",nan,2016,2016-06-01,300000.0
1650,28/06/2016,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,"3,20,00,000",nan,2016,2016-06-01,32000000.0
1651,28/06/2016,Hello Tax,Consumer Internet,Online Tax Filing Platform,NCR,Sanjeev Sinha,Seed Funding,"2,95,000",nan,2016,2016-06-01,295000.0
1652,28/06/2016,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1653,28/06/2016,BlogBeats,Consumer Internet,Online Blogging Platform,Bangalore,Undisclosed Investor,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1654,29/06/2016,LetReach,E-Commerce,ECommerce SAAS Solutions,NCR,vCommission,Private Equity,"1,00,000",nan,2016,2016-06-01,100000.0
1655,29/06/2016,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,"50,000",nan,2016,2016-06-01,50000.0
1656,29/06/2016,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,nan,nan,2016,2016-06-01,-999.0
1657,29/06/2016,Velvetcase,E-Commerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,"15,00,000",nan,2016,2016-06-01,1500000.0
1658,30/06/2016,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,"2,50,00,000",nan,2016,2016-06-01,25000000.0
1659,30/06/2016,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,"2,20,000",nan,2016,2016-06-01,220000.0
1660,30/06/2016,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,nan,nan,2016,2016-06-01,-999.0
1661,30/06/2016,Biryani Blues,Food & Beverage,QSR Chain,NCR,Carpediem Capital & Others,Private Equity,"3,68,000",nan,2016,2016-06-01,368000.0
1662,01/05/2016,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,nan,nan,2016,2016-05-01,-999.0
1663,01/05/2016,Get My Parking,Technology,Parking Technology Platform,NCR,The Chennai Angels,Seed Funding,"3,76,000",nan,2016,2016-05-01,376000.0
1664,01/05/2016,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"1,45,000",nan,2016,2016-05-01,145000.0
1665,02/05/2016,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1666,03/05/2016,Mobikwik,Consumer Internet,Mobile & Digital Wallet,NCR,"GMO Payment Gateway, MediaTek",Private Equity,"5,00,00,000",nan,2016,2016-05-01,50000000.0
1667,03/05/2016,iDreamCareer,Consumer Internet,Career Planning Services Portal,NCR,Brand Capital,Private Equity,nan,nan,2016,2016-05-01,-999.0
1668,03/05/2016,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,"2,50,000",nan,2016,2016-05-01,250000.0
1669,03/05/2016,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1670,03/05/2016,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,"1,80,000",nan,2016,2016-05-01,180000.0
1671,03/05/2016,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,nan,nan,2016,2016-05-01,-999.0
1672,04/05/2016,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,"2,00,000",nan,2016,2016-05-01,200000.0
1673,04/05/2016,Lenskart,E-Commerce,Eyewear & Accessories etailer,NCR,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,"6,00,00,000",nan,2016,2016-05-01,60000000.0
1674,04/05/2016,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,"1,20,00,000",nan,2016,2016-05-01,12000000.0
1675,04/05/2016,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,"2,00,000",nan,2016,2016-05-01,200000.0
1676,04/05/2016,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,"2,00,000",nan,2016,2016-05-01,200000.0
1677,04/05/2016,MyDentistChoice,E-Commerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,"1,50,000",nan,2016,2016-05-01,150000.0
1678,04/05/2016,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",nan,2016,2016-05-01,500000.0
1679,04/05/2016,Affordplan,Technology,Affordable non-emergency medical service health plans,NCR,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",nan,2016,2016-05-01,500000.0
1680,04/05/2016,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,"5,00,000",nan,2016,2016-05-01,500000.0
1681,05/05/2016,Unbxd,Technology,eCommerce product discovery software,NCR,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,nan,nan,2016,2016-05-01,-999.0
1682,05/05/2016,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,"3,75,000",nan,2016,2016-05-01,375000.0
1683,06/05/2016,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,"10,00,000",nan,2016,2016-05-01,1000000.0
1684,06/05/2016,Meesho,E-Commerce,Social commerce platform,Bangalore,Rajul Garg & Others,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1685,07/05/2016,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,"75,000",nan,2016,2016-05-01,75000.0
1686,09/05/2016,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,"27,50,000",nan,2016,2016-05-01,2750000.0
1687,09/05/2016,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,"4,50,000",nan,2016,2016-05-01,450000.0
1688,09/05/2016,Rentickle,E-Commerce,"Furniture, appliances Portal",NCR,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,"2,50,000",nan,2016,2016-05-01,250000.0
1689,10/05/2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,"60,00,000",nan,2016,2016-05-01,6000000.0
1690,10/05/2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,"15,00,000",nan,2016,2016-05-01,1500000.0
1691,10/05/2016,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,"1,80,00,000",nan,2016,2016-05-01,18000000.0
1692,10/05/2016,SchoolWear,E-Commerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,"15,00,000",nan,2016,2016-05-01,1500000.0
1693,10/05/2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,"70,00,000",nan,2016,2016-05-01,7000000.0
1694,11/05/2016,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,"9,00,000",nan,2016,2016-05-01,900000.0
1695,11/05/2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,NCR,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,nan,nan,2016,2016-05-01,-999.0
1696,11/05/2016,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,"10,00,00,000",nan,2016,2016-05-01,100000000.0
1697,12/05/2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,"5,00,000",nan,2016,2016-05-01,500000.0
1698,12/05/2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,"2,50,00,000",nan,2016,2016-05-01,25000000.0
1699,12/05/2016,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,"1,50,000",nan,2016,2016-05-01,150000.0
1700,12/05/2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,nan,nan,2016,2016-05-01,-999.0
1701,12/05/2016,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1702,12/05/2016,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,nan,nan,2016,2016-05-01,-999.0
1703,12/05/2016,Derbii,Logistics,Carpooling Services,NCR,Anurag Chauhan,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1704,13/05/2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,"1,35,00,000",nan,2016,2016-05-01,13500000.0
1705,13/05/2016,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,"22,00,000",nan,2016,2016-05-01,2200000.0
1706,16/05/2016,Smartivity,E-Commerce,Smart Learning products,NCR,"S Chand, AdvantEdge Partners",Private Equity,"10,00,000",nan,2016,2016-05-01,1000000.0
1707,16/05/2016,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,nan,nan,2016,2016-05-01,-999.0
1708,17/05/2016,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,nan,nan,2016,2016-05-01,-999.0
1709,17/05/2016,Crownit,Consumer Internet,Mobile customer rewards management platform,NCR,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,nan,nan,2016,2016-05-01,-999.0
1710,17/05/2016,Blinge,E-Commerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,nan,nan,2016,2016-05-01,-999.0
1711,18/05/2016,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,"2,50,000",nan,2016,2016-05-01,250000.0
1712,18/05/2016,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,"1,00,000",nan,2016,2016-05-01,100000.0
1713,18/05/2016,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1714,18/05/2016,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,"1,00,00,000",nan,2016,2016-05-01,10000000.0
1715,18/05/2016,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,"10,00,000",nan,2016,2016-05-01,1000000.0
1716,18/05/2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,nan,nan,2016,2016-05-01,-999.0
1717,19/05/2016,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,"10,00,000",nan,2016,2016-05-01,1000000.0
1718,19/05/2016,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,nan,nan,2016,2016-05-01,-999.0
1719,19/05/2016,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,NCR,Undisclosed HNIs,Seed Funding,"5,00,000",nan,2016,2016-05-01,500000.0
1720,19/05/2016,Veqta,Consumer Internet,On Demand Digital Sports Network,NCR,"Chatsworth Management, ITW Digital",Seed Funding,"5,00,000",nan,2016,2016-05-01,500000.0
1721,20/05/2016,i2ifunding,Consumer Internet,Online Peer to Peer Funding,NCR,Undisclosed Investors,Seed Funding,"3,00,000",nan,2016,2016-05-01,300000.0
1722,23/05/2016,EduRev,Consumer Internet,Online Learning Platform,NCR,Pradeep Reddy Kamasan,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1723,23/05/2016,Hoppingo,Consumer Internet,Fashion Discovery platform,NCR,vCommission,Seed Funding,"89,000",nan,2016,2016-05-01,89000.0
1724,24/05/2016,Eatonomist,Consumer Internet,Food Delivery Platform,NCR,MCube Capital Advisors Pvt Ltd,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1725,24/05/2016,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,"10,00,000",nan,2016,2016-05-01,1000000.0
1726,25/05/2016,Roast,Consumer Internet,Mobile entertainment App,NCR,Indian Angel Network,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1727,25/05/2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,"15,00,000",nan,2016,2016-05-01,1500000.0
1728,25/05/2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,"1,00,000",nan,2016,2016-05-01,100000.0
1729,25/05/2016,SheThePeople,Consumer Internet,Digital platform for Women,NCR,Anand Mahindra,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1730,26/05/2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,"20,00,000",nan,2016,2016-05-01,2000000.0
1731,26/05/2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,NCR,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,nan,nan,2016,2016-05-01,-999.0
1732,26/05/2016,mChamp,Consumer Internet,Celebrity Entertainment Contest App,NCR,MoMagic Technologies,Seed Funding,"4,75,000",nan,2016,2016-05-01,475000.0
1733,27/05/2016,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,nan,nan,2016,2016-05-01,-999.0
1734,30/05/2016,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,"2,00,000",nan,2016,2016-05-01,200000.0
1735,31/05/2016,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,NCR,Ashish Gupta and other undisclosed investors,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1736,31/05/2016,Koovs,E-Commerce,Apparel & Lifestyle eTailer,NCR,HT Media Ltd,Private Equity,"44,00,000",nan,2016,2016-05-01,4400000.0
1737,31/05/2016,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,"89,00,000",nan,2016,2016-05-01,8900000.0
1738,31/05/2016,1mg,E-Commerce,Online Pharmacy,NCR,HBM Healthcare Investments,Private Equity,nan,nan,2016,2016-05-01,-999.0
1739,31/05/2016,Tpot,Food & Beverage,QSR Chain,NCR,Ashish Gupta,Seed Funding,nan,nan,2016,2016-05-01,-999.0
1740,31/05/2016,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,"1,75,000",nan,2016,2016-05-01,175000.0
1741,01/04/2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,"27,00,000",nan,2016,2016-04-01,2700000.0
1742,01/04/2016,PicsDream,Consumer Internet,Online Marketplace for Photographers,NCR,Raman Roy,Seed Funding,nan,nan,2016,2016-04-01,-999.0
1743,01/04/2016,Process 9,Consumer Internet,online translation and transliteration,NCR,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,nan,nan,2016,2016-04-01,-999.0
1744,04/04/2016,Housing,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,nan,nan,2016,2016-04-01,-999.0
1745,04/04/2016,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,nan,nan,2016,2016-04-01,-999.0
1746,04/04/2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,"2,50,00,000",nan,2016,2016-04-01,25000000.0
1747,04/04/2016,Highway Delite,Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,nan,nan,2016,2016-04-01,-999.0
1748,05/04/2016,Cult Fitness,Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,nan,nan,2016,2016-04-01,-999.0
1749,05/04/2016,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,nan,nan,2016,2016-04-01,-999.0
1750,05/04/2016,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,nan,nan,2016,2016-04-01,-999.0
1751,06/04/2016,Shipsy,Logistics,Logistics Solutions,NCR,DTDC Express Ltd,Private Equity,"10,00,000",nan,2016,2016-04-01,1000000.0
1752,06/04/2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,"5,00,000",nan,2016,2016-04-01,500000.0
1753,06/04/2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,"60,00,000",nan,2016,2016-04-01,6000000.0
1754,06/04/2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,"10,00,000",nan,2016,2016-04-01,1000000.0
1755,07/04/2016,Truly Social,Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,nan,nan,2016,2016-04-01,-999.0
1756,08/04/2016,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",NCR,"IDG, Indian Angel Network",Seed Funding,nan,nan,2016,2016-04-01,-999.0
1757,08/04/2016,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,nan,nan,2016,2016-04-01,-999.0
1758,08/04/2016,imedilane,Consumer Internet,Online Health Diagnosis platform,NCR,"Mahendra Patel, Nilender Chauhan",Seed Funding,"40,000",nan,2016,2016-04-01,40000.0
1759,11/04/2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,"2,00,000",nan,2016,2016-04-01,200000.0
1760,11/04/2016,Vegfru,E-Commerce,Online Fruit & Vegetable Marketplace,NCR,Wingify,Seed Funding,nan,nan,2016,2016-04-01,-999.0
1761,11/04/2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,NCR,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,"10,00,00,000",nan,2016,2016-04-01,100000000.0
1762,11/04/2016,PriceRaja,Consumer Internet,Price Comparison Portal,NCR,Prashant Puri,Seed Funding,"3,00,000",nan,2016,2016-04-01,300000.0
1763,12/04/2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,"10,00,000",nan,2016,2016-04-01,1000000.0
1764,12/04/2016,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,nan,nan,2016,2016-04-01,-999.0
